apvExpLabId,apvCodApli,apvCodEmpresa,apvCodCargo
9380,231836,9843,4811
9381,231825,9844,4814
9382,231164,9849,4820
2259,231826,9854,2458
11520,236482,9860,4821
1752,236938,9862,4694
2260,231134,9866,364
8722,231468,9867,4822
9754,231198,9869,4828
9465,231202,9870,4830
9390,231858,9879,4832
9391,231868,9881,2545
9393,231872,9885,4843
9756,231871,9887,326
9470,231492,9894,4850
9395,231893,9898,219
9758,231577,9905,4875
9759,231959,9910,4876
9919,231960,9914,4877
10890,232248,9919,4879
7073,239447,9923,4880
2268,231932,9927,4886
9400,231955,9941,4887
3548,239157,9942,1868
9572,231963,9944,1917
9920,231944,9945,1812
4231,239459,9947,613
